Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3xKsf9qdS1CyvXSMEid6g8,"Pink + White","Blonde","Frank Ocean",2016-08-20,184516,89,false,bennettspeir,2026-07-25T01:26:41Z,"","Boys Don't Cry",0.545,0.545,9,-7.362,1,0.107,0.667,0.0000548,0.417,0.549,159.94,3
spotify:track:5QLHGv0DfpeXLNFo7SFEy1,"1979 - Remastered 2012","Mellon Collie And The Infinite Sadness (Deluxe Edition)","The Smashing Pumpkins",1995,266200,83,false,bennettspeir,2026-07-25T01:26:41Z,"alternative rock,rock","Virgin Records",0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,4
spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,"Good News","Circles","Mac Miller",2020-01-17,342040,72,false,bennettspeir,2026-07-25T01:26:41Z,"","Warner Records",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4
spotify:track:3zEN0ii6s4DHHBpnTp3RP7,"We Are The People","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,267373,91,false,bennettspeir,2026-07-25T01:26:41Z,"","EMI Recorded Music Australia Pty Ltd",0.675,0.781,4,-5.404,0,0.0306,0.0801,0.0143,0.422,0.534,122.989,4
spotify:track:1fLTi1wA2FPONA5SAIoKJX,"Home","Blue Sky Mentality","Good Neighbours",2025-10-03,157485,79,false,bennettspeir,2026-07-25T01:26:41Z,"","Polydor Records",0.596,0.661,11,-4.798,1,0.0394,0.0323,0.00364,0.113,0.145,76.982,4
spotify:track:1RUTIdTnFs8lHSc0Zr4UJB,"Up Up & Away","Man On The Moon: The End Of Day (Deluxe)","Kid Cudi",2009-01-01,227346,66,true,bennettspeir,2026-07-25T01:26:41Z,"","Kid Cudi/Universal Records",0.66,0.881,10,-6.119,0,0.0849,0.0722,0.0000343,0.362,0.586,120.018,4
spotify:track:5qII2n90lVdPDcgXEEVHNy,"Sunday Morning","Songs About Jane: 10th Anniversary Edition","Maroon 5",2002,244880,85,false,bennettspeir,2026-07-25T01:26:41Z,"pop","Interscope Records*",0.608,0.768,0,-5.227,1,0.0475,0.0913,0,0.0629,0.809,88.059,4
spotify:track:6Hfu9sc7jvv6coyy2LlzBF,"Hurricane","Donda","Kanye West;The Weeknd;Lil Baby",2021-08-29,243187,68,false,bennettspeir,2026-07-25T01:26:41Z,"rap","Rock The World/IDJ/Kanye LP7",0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,4
spotify:track:4iG2gAwKXsOcijVaVXzRPW,"Time to Pretend","Oracular Spectacular","MGMT",2007-12-14,261000,82,true,bennettspeir,2026-07-25T01:26:41Z,"indie","Red Ink/Columbia",0.438,0.94,2,-3.249,1,0.0452,0.0000874,0.0777,0.3,0.421,100.99,3
spotify:track:4MQIDIQjNWkUvpXe5Je7TO,"APOLOGIZE","DIE FOR MY BITCH","Baby Keem",2019-07-19,213473,61,true,bennettspeir,2026-07-25T01:26:41Z,"","Baby Keem LLC",0.756,0.429,5,-8.079,0,0.0295,0.0101,0.000589,0.153,0.092,95.008,4
spotify:track:3U5HfQM00maTYSthHtV59L,"him all along","The Last Wun","Gunna",2025-08-08,158666,72,true,bennettspeir,2026-07-25T01:26:41Z,"melodic rap","300 Entertainment",0.872,0.507,4,-6.323,0,0.072,0.195,0,0.111,0.506,130.007,4
spotify:track:4qW3BbQAwZsrnu8a3ZRdyT,"Self Aware","Self Aware","Temper City",2026-02-15,180740,97,false,bennettspeir,2026-07-25T01:26:41Z,"","Temper City under exclusive license to Thirty Knots",0.612,0.643,9,-3.562,0,0.0313,0.169,0,0.0796,0.398,162.007,4
spotify:track:1eyzqe2QqGZUmfcPZtrIyt,"Midnight City","Hurry Up, We're Dreaming","M83",2011,241440,76,false,bennettspeir,2026-07-25T01:26:41Z,"","Mute",0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,4
spotify:track:75ZvA4QfFiZvzhj2xkaWAh,"I Fall Apart","Stoney (Deluxe)","Post Malone",2016-12-09,223346,78,true,bennettspeir,2026-07-25T01:26:41Z,"","Mercury Records/Republic Owned",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.946,4
spotify:track:6ieWL5CLN9WdC875guWtMe,"Lady Of Namek","Alone At Prom","Tory Lanez",2021-12-10,193993,77,true,bennettspeir,2026-07-25T01:26:41Z,"","One Umbrella Records",0.676,0.659,11,-5.123,0,0.0476,0.194,0,0.283,0.595,134.985,4
spotify:track:2DTpP3caqX3QdJIEoS83mD,"Your Heart","Your Heart","Joyner Lucas;J. Cole",2021-09-24,198620,61,true,bennettspeir,2026-07-25T01:26:41Z,"rap","Twenty Nine Music Group",0.861,0.637,6,-7.701,0,0.133,0.392,0,0.0929,0.754,87.006,4
spotify:track:152lZdxL1OR0ZMW6KquMif,"Location","American Teen","Khalid",2017-04-27,219080,82,false,bennettspeir,2026-07-25T01:26:41Z,"","Right Hand Music Group, LLC/RCA Records",0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,4
spotify:track:41sGGCCoHI2GLV9qadX80A,"Baby Come Back","Player","Player",1977-09-01,255845,83,false,bennettspeir,2026-07-25T01:26:41Z,"yacht rock","UMC (Universal Music Catalogue)",0.646,0.602,5,-10.238,0,0.0758,0.0599,0.000017,0.0956,0.543,156.101,4
spotify:track:0y60itmpH0aPKsFiGxmtnh,"Wait a Minute!","ARDIPITHECUS","WILLOW",2015-01-11,196520,87,false,bennettspeir,2026-07-25T01:26:41Z,"","Roc Nation W Smith P&D",0.764,0.705,3,-5.279,0,0.0278,0.0371,0.0000194,0.0943,0.672,101.003,4
spotify:track:7Gs3otHnZDq514kFHf0nx7,"Blue Notes","DC4","Meek Mill",2016-10-28,227808,72,true,bennettspeir,2026-07-25T01:26:41Z,"rap","MMG/Atlantic",0.515,0.431,4,-8.251,1,0.257,0.665,0,0.147,0.184,141.392,4
spotify:track:1M3tJP96RKySKjSDKrxBy7,"No Escape","True 2 Myself","Lil Tjay",2019-10-11,224613,58,true,bennettspeir,2026-07-25T01:26:41Z,"brooklyn drill,melodic rap","Columbia",0.729,0.525,9,-9.807,0,0.187,0.303,0,0.111,0.29,93.681,4
spotify:track:14AyWf6y7KlWWLfAjdKMKI,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,83,false,bennettspeir,2026-07-25T01:26:41Z,"folk pop,indie folk","Dualtone Music Group",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
spotify:track:2KvHC9z14GSl4YpkNMX384,"Do Not Disturb","More Life","Drake",2017-03-18,283550,79,true,bennettspeir,2026-07-25T01:26:41Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.618,0.693,7,-5.943,0,0.45,0.246,0,0.112,0.454,170.982,4
spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Peaches (feat. Daniel Caesar & Giveon)","Justice","Justin Bieber;Daniel Caesar;GIVĒON",2021-03-19,198081,85,true,bennettspeir,2026-07-25T01:26:41Z,"r&b","RBMG/Def Jam",0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,4
spotify:track:3NqCEpT8xsHdzpiRlM1kpS,"Through Da Storm","Die A Legend","Polo G",2019-06-07,195586,71,true,bennettspeir,2026-07-25T01:26:41Z,"","Columbia",0.71,0.49,1,-9.832,1,0.246,0.128,0,0.0942,0.621,74.351,4
spotify:track:0725YWm6Z0TpZ6wrNk64Eb,"Super Rich Kids","channel ORANGE","Frank Ocean;Earl Sweatshirt",2012-07-10,304760,79,true,bennettspeir,2026-07-25T01:26:41Z,"experimental hip hop,alternative hip hop","Red Zone Entertainment / IDJ",0.739,0.419,3,-8.241,0,0.0854,0.219,0,0.196,0.58,60.493,4
spotify:track:2Lumsra3kuU61wXkEKzKaK,"Disco","Disco","Surf Curse",2019-06-12,152760,82,false,bennettspeir,2026-07-25T01:26:41Z,"indie","Surf Curse",0.473,0.621,11,-8.698,0,0.0291,0.0253,0.000366,0.19,0.782,173.083,4
spotify:track:2lpygKqzPFtItQ4ss3cgfb,"Cinderella (feat. Ty Dolla $ign)","The Divine Feminine","Mac Miller;Ty Dolla $ign",2016-09-16,480186,93,true,bennettspeir,2026-07-25T01:26:41Z,"trap soul","Warner Records",0.545,0.534,8,-6.874,0,0.047,0.235,0,0.345,0.24,140.021,4
spotify:track:2EWpa5XnAuSn0sIkSSIhYk,"Wish I Knew You","Men Amongst Mountains","The Revivalists",2015-07-15,274093,76,false,bennettspeir,2026-07-25T01:26:41Z,"","Concord Records",0.649,0.718,0,-6.593,0,0.0261,0.142,0.0713,0.124,0.718,101.034,4
spotify:track:7nnWIPM5hwE3DaUBkvOIpy,"Drive","Make Yourself","Incubus",1999-10-26,232453,84,false,bennettspeir,2026-07-25T01:26:41Z,"nu metal,funk rock,alternative metal,alternative rock","Epic/Immortal",0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,4
spotify:track:1N62wozuHCvczCkY4QidpP,"Over My Head (Cable Car)","How To Save A Life","The Fray",2005-09-13,236266,77,false,bennettspeir,2026-07-25T01:26:41Z,"","Epic",0.592,0.729,8,-4.156,1,0.0448,0.022,0,0.0653,0.709,116.03,4
spotify:track:4cktbXiXOapiLBMprHFErI,"Memories","JORDI (Deluxe)","Maroon 5",2021-06-11,189486,85,false,bennettspeir,2026-07-25T01:26:41Z,"pop","Interscope Records*",0.775,0.327,11,-7.241,1,0.0557,0.841,0,0.0821,0.595,91.05,4
spotify:track:5SkRLpaGtvYPhw02vZhQQ9,"All Falls Down","The College Dropout","Kanye West;Syleena Johnson",2004-02-10,223506,86,true,bennettspeir,2026-07-25T01:26:41Z,"rap,neo soul","Roc-A-Fella",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,4
spotify:track:7p4vHnYXkxlzvfePJVpcTr,"Feels Like Summer","Summer Pack","Childish Gambino",2018-07-11,297404,81,false,bennettspeir,2026-07-25T01:26:41Z,"","Wolf+Rothstein/RCA Records",0.55,0.596,7,-8.214,1,0.134,0.162,0.00481,0.0805,0.253,165.736,4
spotify:track:7bwLHhqhRu0fVTM3aaeK9V,"Birds & the Bees","Ca$ino","Baby Keem",2026-02-20,136542,70,true,bennettspeir,2026-07-25T01:26:41Z,"","pgLang/Columbia",0.863,0.442,4,-6.16,0,0.0738,0.475,0,0.101,0.419,84.961,4
spotify:track:6YD8EpsddOfEwAhaymGu0Q,"go crazy","a Gift & a Curse","Gunna",2023-06-16,173360,64,true,bennettspeir,2026-07-25T01:26:41Z,"melodic rap","300 Entertainment",0.827,0.541,6,-7.109,1,0.0539,0.516,0,0.107,0.584,132.988,4
spotify:track:03MWa1FMygR3RrQoQytsjS,"Cudi Zone","Man On The Moon: The End Of Day (Deluxe)","Kid Cudi",2009-01-01,259040,65,true,bennettspeir,2026-07-25T01:26:41Z,"","Kid Cudi/Universal Records",0.706,0.691,9,-5.86,0,0.0338,0.546,0.0000013,0.366,0.599,134.751,4
spotify:track:0rVJ6v23RQozOIvr1YotJP,"Hell N Back","Hell N Back (Sped Up)","Bakar",2019-08-14,213573,78,true,bennettspeir,2026-07-25T01:26:41Z,"","Black Butter",0.633,0.684,10,-4.314,0,0.591,0.314,0.0000895,0.112,0.725,209.688,4
spotify:track:0bkTdkWwGk3OGFX0afD3Wj,"Mystery Lady","Studying Abroad: Extended Stay","Masego;Don Toliver",2020-11-13,228453,77,false,bennettspeir,2026-07-25T01:26:41Z,"","EQT Recordings - Masego",0.747,0.494,3,-7.957,0,0.141,0.393,0,0.0982,0.624,76.006,4
spotify:track:0RBw4ODUQPO4cuAOZtBGga,"Hurts Me","Hurts Me","Tory Lanez;Trippie Redd;Yoko Gold",2023-06-27,140800,79,false,bennettspeir,2026-07-25T01:26:41Z,"melodic rap","One Umbrella Records",0.553,0.786,8,-5.477,0,0.0325,0.0438,0,0.119,0.673,149.968,4
spotify:track:2nO1DYEg1X5GHi8SSuNJQj,"Wait for Me","Mechanical Bull (Expanded Edition)","Kings of Leon",2013-09-24,210158,79,false,bennettspeir,2026-07-25T01:26:41Z,"","RCA/Legacy",0.488,0.624,9,-8.357,1,0.0329,0.0263,0.00223,0.122,0.308,116.723,4
spotify:track:6TqXcAFInzjp0bODyvrWEq,"Talk (feat. Disclosure)","Free Spirit","Khalid;Disclosure",2019-04-05,197573,73,false,bennettspeir,2026-07-25T01:26:41Z,"house","Right Hand Music Group, LLC/RCA Records",0.9,0.4,0,-8.575,1,0.127,0.0516,0,0.0599,0.346,135.984,4
spotify:track:04WxFTgT3bEvX1WOYzT5Ky,"Cowboys Don’t Cry","Cowboy Tears","Oliver Tree",2022-02-18,189969,80,false,bennettspeir,2026-07-25T01:26:41Z,"","Atlantic Records",0.608,0.638,8,-7.215,1,0.0561,0.217,0,0.324,0.457,87.956,4
spotify:track:0AAMnNeIc6CdnfNU85GwCH,"Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)","Metro Boomin;Coi Leray",2023-06-02,189466,76,false,bennettspeir,2026-07-25T01:26:41Z,"","Republic Records",0.751,0.3,4,-9.404,0,0.0584,0.199,0.000341,0.127,0.0551,120.097,4
spotify:track:4AtZRwSR8BOTTQg5ihSggt,"PRBLMS","FREE 6LACK","6LACK",2016-11-18,246773,70,true,bennettspeir,2026-07-25T01:26:41Z,"","LVRN Records",0.417,0.58,9,-4.574,1,0.207,0.0307,0.00000145,0.179,0.139,68.58,5
spotify:track:0fYVliAYKHuPmECRs1pbRf,"Renegades","VHS","X Ambassadors",2015-06-30,195200,78,false,bennettspeir,2026-07-25T01:26:41Z,"","Kid Ina Korner / Interscope",0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,4
spotify:track:0Thqjtu54vKMP06pwZkAWp,"G.O.M.D","2014 Forest Hills Drive","J. Cole",2014-12-09,301064,75,true,bennettspeir,2026-07-25T01:26:41Z,"rap","Roc Nation Records LLC",0.889,0.4,4,-10.586,0,0.26,0.322,0.0000132,0.331,0.336,128.073,4
