Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0SErdEdRcVX1uJCf1eTGYH,"Somebody’s Problem","Somebody’s Problem","Morgan Wallen",2020-11-20,161773,1,false,bennettspeir,2021-01-09T07:08:44Z,"country","Loud / Republic",0.657,0.54,5,-7.675,1,0.0287,0.662,0,0.123,0.625,136.97,4
spotify:track:6foY66mWZN0pSRjZ408c00,"Whiskey Glasses","If I Know Me","Morgan Wallen",2018-04-27,234346,9,false,bennettspeir,2020-11-05T22:12:24Z,"country","Big Loud Records",0.614,0.68,6,-4.58,1,0.0289,0.369,0.00000184,0.115,0.707,149.959,4
spotify:track:0sKEilrw1GrBlG6qsTCrP4,"865","Dangerous: The Double Album","Morgan Wallen",2021-01-08,190680,7,false,bennettspeir,2021-01-16T17:15:47Z,"country","Big Loud / Republic",0.532,0.584,8,-5.254,1,0.0248,0.723,0,0.101,0.367,88.003,4
spotify:track:3cBsEDNhFI9E82vPj3kvi3,"Wasted On You","Dangerous: The Double Album","Morgan Wallen",2021-01-08,178520,11,false,bennettspeir,2021-01-23T05:34:42Z,"country","Big Loud / Republic",0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196,3
spotify:track:2Qz8kpCjxulML39zB6gQxY,"Still Goin Down","Dangerous: The Double Album","Morgan Wallen",2021-01-08,186293,3,false,bennettspeir,2021-01-23T05:48:09Z,"country","Big Loud / Republic",0.58,0.752,7,-5.078,1,0.0267,0.49,0,0.277,0.72,148.108,4
spotify:track:0uRrG2jRR5tuifsYIJHEao,"Sand In My Boots","Dangerous: The Double Album","Morgan Wallen",2021-01-08,202133,9,false,bennettspeir,2021-01-29T22:47:47Z,"country","Big Loud / Republic",0.403,0.537,3,-6.628,1,0.031,0.59,0,0.112,0.414,69.877,4
spotify:track:5OELUCYgOHKFAvCERnAvfS,"More Than My Hometown","Dangerous: The Double Album","Morgan Wallen",2021-01-08,216573,9,false,bennettspeir,2021-01-23T05:43:11Z,"country","Big Loud / Republic",0.62,0.869,6,-5.479,1,0.0462,0.615,0,0.131,0.597,126.019,4
spotify:track:3LhzpgimYSZhTx5KuchwVX,"Up Down (Feat. Florida Georgia Line)","Up Down (Feat. Florida Georgia Line)","Morgan Wallen;Florida Georgia Line",2017-10-06,196240,0,false,bennettspeir,2020-11-05T22:08:03Z,"country,pop country,acoustic country","Big Loud Records",0.59,0.881,6,-2.898,1,0.0349,0.0913,0,0.157,0.734,129.928,4
spotify:track:3FU6urUVsgXa6RBuV2PdRk,"Heartless (feat. Morgan Wallen)","Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil","Diplo;Morgan Wallen",2020-05-29,169226,77,true,bennettspeir,2020-11-05T22:13:10Z,"moombahton,country","Columbia",0.765,0.556,11,-6.417,1,0.0512,0.275,0,0.0824,0.274,111.033,4
spotify:track:0Z0kNthq0sS4lvGz9SSlBF,"7 Summers","7 Summers","Morgan Wallen",2020-08-14,210122,0,false,bennettspeir,2021-01-29T22:54:59Z,"country","Big Loud Records",0.625,0.775,0,-5.199,1,0.0248,0.431,0.0000523,0.12,0.588,101.961,4
