Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7LR85XLWw2yXqKBSI5brbG,"Run This Town","The Blueprint 3","JAŸ-Z;Rihanna;Kanye West",2009-09-08,267520,82,true,bennettspeir,2026-07-25T01:18:49Z,"hip hop,east coast hip hop,rap","Roc Nation / Jay-Z",0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,4
spotify:track:5SWnsxjhdcEDc7LJjq9UHk,"Runnin","SAVAGE MODE II","21 Savage;Metro Boomin",2020-10-02,195906,78,true,bennettspeir,2026-07-25T01:18:49Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,4
spotify:track:2xLMifQCjDGFmkHkpNLD9h,"SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,85,true,bennettspeir,2026-07-25T01:18:49Z,"rap","Cactus Jack / Epic",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
spotify:track:7Ie9W94M7OjPoZVV216Xus,"Not Afraid","Recovery","Eminem",2010-06-18,248133,82,true,bennettspeir,2026-07-25T01:18:49Z,"rap,hip hop","Eminem Catalog PS",0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,5
spotify:track:70TGNwQDvF5b6GQWlYPr8p,"BAND4BAND (feat. Lil Baby)","CAN'T RUSH GREATNESS","Central Cee;Lil Baby",2025-01-24,140720,79,true,bennettspeir,2026-07-25T01:18:49Z,"uk drill,drill,uk grime","Columbia",0.884,0.75,11,-5.236,1,0.198,0.346,0,0.124,0.88,140.114,4
spotify:track:6rUmUJ2drFemHTH73bFAKQ,"That Go! (feat. T-Shyne)","Slime Language 2","Young Stoner Life;Young Thug;Meek Mill;T-Shyne",2021-04-16,226000,71,true,bennettspeir,2026-07-25T01:18:49Z,"rap,melodic rap,trap","300 Entertainment",0.713,0.575,1,-6.706,1,0.0501,0.00669,0,0.169,0.189,145.95,4
spotify:track:7hrFCoyWwKep7qp1lP4oga,"Back On My BS","THE BIGGEST","BigXthaPlug",2023-12-01,94426,77,true,bennettspeir,2026-07-25T01:18:49Z,"southern hip hop","BigXthaPlug under exclusive license to UnitedMasters LLC",0.804,0.573,9,-8.654,1,0.33,0.238,0.00817,0.372,0.701,121.961,4
spotify:track:2FAZskT9yRjp2Oow9szJD8,"The Days - NOTION Remix","The Days (NOTION Remix)","Chrystal;NOTION",2024-11-08,233229,87,false,bennettspeir,2026-07-25T01:18:49Z,"bassline,bass house,uk garage,drum and bass","Polydor Records",0.62,0.843,6,-5.321,0,0.0844,0.0062,0.00000463,0.55,0.237,137.812,4
spotify:track:4nva9EpKntUTs6CRSGBCn9,"Just A Lil Bit","The Massacre","50 Cent",2005-03-03,237706,85,true,bennettspeir,2026-07-25T01:18:49Z,"old school hip hop,east coast hip hop","Aftermath/Shady",0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,4
spotify:track:77DRzu7ERs0TX3roZcre7Q,"euphoria","euphoria","Kendrick Lamar",2024-04-30,383639,76,true,bennettspeir,2026-07-25T01:18:49Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.831,0.643,1,-5.002,1,0.11,0.046,0,0.084,0.142,139.948,4
spotify:track:4MjDJD8cW7iVeWInc2Bdyj,"MONACO","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,267194,87,true,bennettspeir,2026-07-25T01:18:49Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Flashing Lights","Graduation","Kanye West;Dwele",2007-09-11,237506,90,true,bennettspeir,2026-07-25T01:18:49Z,"rap,neo soul","Roc-A-Fella",0.639,0.628,6,-7.578,0,0.0398,0.0381,0,0.386,0.43,90.482,4
spotify:track:34oWbFBfGEElvgO0a5c9V4,"No Flockin'","No Flockin'","Kodak Black",2015-11-13,165290,81,true,bennettspeir,2026-07-25T01:18:49Z,"","P2015",0.943,0.595,5,-8.372,0,0.191,0.0673,0,0.0839,0.815,117.532,4
spotify:track:1K5KBOgreBi5fkEHvg5ap3,"Life Is Good (feat. Drake)","High Off Life","Future;Drake",2020-05-15,237918,79,true,bennettspeir,2026-07-25T01:18:49Z,"rap,trap","Epic/Freebandz",0.795,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053,4
spotify:track:0FlcmZ13DGRmscCroro9GO,"Body","OCTANE","Don Toliver",2026-01-30,155753,87,true,bennettspeir,2026-07-25T01:18:49Z,"","CactusJack/Donnway/ATL",0.828,0.479,8,-3.688,1,0.0734,0.222,0,0.159,0.696,145.944,4
spotify:track:5m0yZ33oOy0yYBtdTXuxQe,"Low Down","My Turn (Deluxe)","Lil Baby",2020-05-01,144651,76,true,bennettspeir,2026-07-25T01:18:49Z,"","Quality Control/Motown Records",0.962,0.619,10,-5.562,0,0.405,0.0354,0,0.083,0.154,127.956,4
spotify:track:40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I","When It's Dark Out","G-Eazy;Bebe Rexha",2015-12-04,251465,84,true,bennettspeir,2026-07-25T01:18:49Z,"","BPG/RVG/RCA Records",0.756,0.674,0,-6.518,0,0.0959,0.0184,0,0.158,0.389,111.995,4
spotify:track:3U5HfQM00maTYSthHtV59L,"him all along","The Last Wun","Gunna",2025-08-08,158666,72,true,bennettspeir,2026-07-25T01:18:49Z,"melodic rap","300 Entertainment",0.872,0.507,4,-6.323,0,0.072,0.195,0,0.111,0.506,130.007,4
spotify:track:5Qy6a5KzM4XlRxsNcGYhgH,"6 Foot 7 Foot","Tha Carter IV (Complete Edition)","Lil Wayne;Cory Gunz",2011-08-29,248586,75,true,bennettspeir,2026-07-25T01:18:49Z,"rap,hip hop","CM/Republic",0.364,0.752,2,-5.429,1,0.304,0.0007,0,0.318,0.606,79.119,4
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,"Eye of the Tiger","Eye Of The Tiger","Survivor",1982,243773,83,false,bennettspeir,2026-07-25T01:18:49Z,"","Volcano",0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,4
spotify:track:3muBQDekYAg7jm6hDu6R0Z,"First Day Out","My Moment","Tee Grizzley",2017-04-07,254693,75,true,bennettspeir,2026-07-25T01:18:49Z,"","300 Entertainment",0.587,0.711,1,-6.33,1,0.42,0.171,0,0.125,0.381,98.008,4
