Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:22L7bfCiAkJo5xGSQgmiIO,"All Of The Lights","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,299613,83,true,bennettspeir,2026-07-25T01:23:49Z,"rap","Roc-A-Fella",0.531,0.803,1,-3.284,1,0.0717,0.0796,0.0000171,0.176,0.221,142.113,4
spotify:track:5wfllwdjglyQislkskYLBv,"Day 'N' Nite (nightmare)","Man On The Moon: The End Of Day (Deluxe)","Kid Cudi",2009-01-01,221240,77,false,bennettspeir,2026-07-25T01:23:49Z,"","Kid Cudi/Universal Records",0.881,0.442,11,-6.278,0,0.0651,0.48,0.00000908,0.12,0.803,138.014,4
spotify:track:2HbKqm4o0w5wEeEFXm2sD4,"Money Trees","good kid, m.A.A.d city","Kendrick Lamar;Jay Rock",2012,386906,81,true,bennettspeir,2026-07-25T01:23:49Z,"hip hop,west coast hip hop","Aftermath",0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,4
spotify:track:6HSqyfGnsHYw9MmIpa9zlZ,"Forever","More Than A Game","Drake;Kanye West;Lil Wayne;Eminem",2009-01-01,357346,65,true,bennettspeir,2026-07-25T01:23:49Z,"rap,hip hop","Interscope",0.415,0.926,5,-1.304,0,0.374,0.253,0,0.256,0.542,158.423,4
spotify:track:2X6b7zLdIxCejd6GqVcQ9M,"3005","Because the Internet","Childish Gambino",2013-12-10,234215,83,true,bennettspeir,2026-07-25T01:23:49Z,"","Glassnote - VMG",0.472,0.449,6,-7.272,0,0.326,0.113,0,0.0891,0.634,166.065,4
spotify:track:42F7AY5a40owYmUeq0QQTl,"The Thrill","The Thrill","Wiz Khalifa;Empire Of The Sun",2020-11-11,234333,86,true,bennettspeir,2026-07-25T01:23:49Z,"","Rostrum Records",0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,4
spotify:track:5iSEsR6NKjlC9SrIJkyL3k,"Pursuit Of Happiness (Nightmare)","Man On The Moon: The End Of Day","Kid Cudi;MGMT;Ratatat",2009-09-15,295293,72,true,bennettspeir,2026-07-25T01:23:49Z,"indie","Kid Cudi/Universal Records",0.629,0.606,0,-8.951,1,0.0412,0.484,0.0001,0.298,0.288,115.275,4
spotify:track:01Lr5YepbgjXAWR9iOEyH1,"Love Sosa","Finally Rich","Chief Keef",2012-01-01,246213,83,true,bennettspeir,2026-07-25T01:23:49Z,"chicago drill,drill","UMGRI Interscope",0.772,0.413,0,-8.194,0,0.0891,0.0361,0,0.111,0.211,131.964,4
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,"POWER","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,292093,83,true,bennettspeir,2026-07-25T01:23:49Z,"rap","Roc-A-Fella",0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4
spotify:track:6etwirSInfuJrSOlogS6Sh,"American Boy","Shine","Estelle;Kanye West",2008-03-28,284733,86,true,bennettspeir,2026-07-25T01:23:49Z,"rap","Round Hill Records",0.693,0.729,0,-2.99,1,0.378,0.171,0,0.07,0.521,117.848,4
